"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"QUPA2","Quercus palustris","NA","QUPA2","Quercus palustris","pin oak","Fagaceae","Beech family","Tree","Perennial","woody","NA","N"
"QURU","Quercus rubra","NA","QURU","Quercus rubra","northern red oak","Fagaceae","Beech family","Tree","Perennial","woody","woody","N"
"QUSH","Quercus shumardii","NA","QUSH","Quercus shumardii","Shumard's oak","Fagaceae","Beech family","Tree","Perennial","woody","NA","N"
"QUST","Quercus stellata","NA","QUST","Quercus stellata ","post oak","Fagaceae","Beech family","Tree","Perennial","woody","NA","N"
"QUVE","Quercus velutina","NA","QUVE","Quercus velutina","black oak","Fagaceae","Beech family","Tree","Perennial","woody","woody","N"
"RAAB","Ranunculus abortivus","NA","RAAB","Ranunculus abortivus","littleleaf buttercup","Ranunculaceae","Buttercup family","Forb/herb","Biennial, Perennial","forb","spring","N"
"RACO3","Ratibida columnifera","NA","RACO3","Ratibida columnifera","upright prairie coneflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"RAHI","Ranunculus hispidus","NA","RAHI","Ranunculus hispidus","bristly buttercup","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"RAMI2","Ranunculus micranthus","NA","RAMI2","Ranunculus micranthus","rock buttercup","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"RANUN","Ranunculus","NA","RANUN","Ranunculus","buttercup","Ranunculaceae","Buttercup family","Forb/herb","NA","forb","spring","N"
"RAPI","Ratibida pinnata","NA","RAPI","Ratibida pinnata","pinnate prairie coneflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"RARE2","Ranunculus recurvatus","NA","RARE2","Ranunculus recurvatus","blisterwort","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","NA","N"
"REDOAK","Red oak group","NA","NA","Red oak group","NA","Fagaceae","Beech family","Tree","Perennial","woody","NA","N"
"RHAMN","Rhamnus","NA","RHAMN","Rhamnus","buckthorn","Rhamnaceae","Buckthorn family","Shrub","	Perennial","woody","woody","N"
"RHAR4","Rhus aromatica","NA","RHAR4","Rhus aromatica","fragrant sumac","Anacardiaceae","Sumac family","Shrub","Perennial","woody","woody","N"
"RHCA3","Rhamnus cathartica","NA","RHCA3","Rhamnus cathartica","common buckthorn","Rhamnaceae","Buckthorn family","Shrub","Perennial","woody","woody","I"
"RHCO","Rhus copallinum","NA","RHCO","Rhus copallinum","winged sumac","Anacardiaceae","Sumac family","Shrub","Perennial","woody","woody","N"
"RHGL","Rhus glabra","NA","RHGL","Rhus glabra","smooth sumac","Anacardiaceae","Sumac family","Shrub","Perennial","woody","woody","N"
"RHLA","Rhamnus lanceolata","NA","RHLA","Rhamnus lanceolata","lanceleaf buckthorn","Rhamnaceae","Rhamnaceae","Shrub","Perennial","woody","NA","N"
"RHTR","Rhus trilobata","NA","RHTR","Rhus trilobata","skunkbush sumac","Anacardiaceae","Sumac family","Shrub","Perennial","woody","woody","N"
"RHTY","Rhus typhina","RHHI2","RHHI2","Rhus hirta","Staghorn sumac ","Anacardiaceae","Sumac family","Shrub","Perennial","woody","woody","N"
"RIBES","Ribes","NA","RIBES","Ribes","currant","Grossulariaceae","Currant family","Shrub","	Perennial","woody","NA","N"
"RICE","Ribes cereum","NA","RICE","Ribes cereum","wax currant","Grossulariaceae","Currant family","Shrub","Perennial","woody","woody","N"
"RIMI","Ribes missouriense","NA","RIMI","Ribes missouriense","Missouri gooseberry","Grossulariaceae","Currant family","Shrub","Perennial","woody","woody","N"
"ROAC","Rosa acicularis","NA","ROAC","Rosa acicularis","prickly rose","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"ROAR3","Rosa arkansana","NA","ROAR3","Rosa arkansana","prairie rose","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"ROCA4","Rosa carolina","NA","ROCA4","Rosa carolina","Carolina rose","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"ROMU","Rosa multiflora","NA","ROMU","Rosa multiflora","multiflora rose","Rosaceae","Rose family","Vine, Subshrub","Perennial","woody","woody","I"
"ROPS","Robinia pseudoacacia","NA","ROPS","Robinia pseudoacacia","black locust","Fabaceae","Pea family","Tree","Perennial","woody","NA","N"
"ROSA5","Rosa","NA","ROSA5","Rosa","rose","Rosaceae","Rose family","Subshrub","	Perennial","woody","NA","N"
"ROSE2","Rosa setigera","NA","ROSE2","Rosa setigera","climbing rose","Rosaceae","Rose family","Vine, Subshrub","Perennial","woody","woody","N"
"ROWO","Rosa woodsii","NA","ROWO","Rosa woodsii","Woods' rose","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"RUAC3","Rumex acetosella","NA","RUAC3","Rumex acetosella","common sheep sorrel","Polygonaceae","Buckwheat family","Forb/herb","Perennial","forb","spring","I"
"RUAL4","Rumex altissimus","NA","RUAL4","Rumex altissimus","pale dock","Polygonaceae","Buckwheat family","Forb/herb","Perennial","forb","spring","N"
"RUBUS","Rubus","NA","RUBUS","Rubus","blackberry","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"RUCA4","Ruellia caroliniensis","NA","RUCA4","Ruellia caroliniensis","Carolina wild petunia","Acanthaceae","Acanthus family","Forb/herb","Perennial","fern","forb","N"
"RUCR","Rumex crispus","NA","RUCR","Rumex crispus","curly dock","Polygonaceae","Buckwheat family","Forb/herb","Perennial","forb","spring","I"
"RUDBE","Rudbeckia","NA","RUDBE","Rudbeckia","coneflower","Asteraceae","Aster family","Forb/herb","NA","forb","summer","N"
"RUELL","Ruellia","NA","RUELL","Ruellia","wild petunia","Acanthaceae","Acanthus family","Forb/herb","NA","forb","NA","N"
"RUHI2","Rudbeckia hirta","NA","RUHI2","Rudbeckia hirta","blackeyed Susan","Asteraceae","Aster family","Forb/herb","Annual, Biennial, Perennial","forb","spring","N"
"RUHU","Ruellia humilis","NA","RUHU","Ruellia humilis","fringeleaf wild petunia","Acanthaceae","Acanthus family","Forb/herb","Perennial","forb","summer","N"
"RULA3","Rudbeckia laciniata","NA","RULA3","Rudbeckia laciniata","cutleaf coneflower","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"RUMEX","Rumex","NA","RUMEX","Rumex","dock","Polygonaceae","Buckwheat family","Forb/herb","	Perennial","forb","spring","I"
"RUOC","Rubus occidentalis","NA","RUOC","Rubus occidentalis","black raspberry","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"RUPE3","Rubus pensilvanicus","NA","RUPE3","Rubus pensilvanicus","Pennsylvania blackberry","Rosaceae","Rose family","Subshrub","Perennial","woody","woody","N"
"RUPE4","Ruellia pedunculata","NA","RUPE4","Ruellia pedunculata","stalked wild petunia","Acanthaceae","Acanthus family","Forb/herb","Perennial","forb","NA","N"
"RUST2","Ruellia strepens","NA","RUST2","Ruellia strepens","limestone wild petunia","Acanthaceae","Acanthus family","Forb/herb","Perennial","forb","summer","N"
"RUSU","Rudbeckia subtomentosa","NA","RUSU","Rudbeckia subtomentosa","sweet coneflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"RUTR2","Rudbeckia triloba","NA","RUTR2","Rudbeckia triloba","browneyed Susan","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"RUVE2","Rumex venosus","NA","RUVE2","Rumex venosus","veiny dock","Polygonaceae","Buckwheat family","Forb/herb","Perennial","forb","spring","N"
"SAAL5","Sassafras albidum","NA","SAAL5","Sassafras albidum","sassafras","Lauraceae","Laurel family","Tree","Perennial","woody","woody","N"
"SAAN","Sabatia angularis","NA","SAAN","Sabatia angularis","rosepink","Gentianaceae","Gentian family","Forb/herb","Annual","forb","NA","N"
"SAAZ","Salvia azurea","NA","SAAZ","Salvia azurea","azure blue sage","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"SACA13","Sanguinaria canadensis","NA","SACA13","Sanguinaria canadensis","bloodroot","Papaveraceae","Poppy family","Forb/herb","Perennial","forb","spring","N"
"SACA15","Sanicula canadensis","NA","SACA15","Sanicula canadensis","Canadian blacksnakeroot","Apiaceae","Carrot family","Forb/herb","Biennial","forb","annual-biennial","N"
"SALSO","Salsola","NA","SALSO","Salsola","Russian thistle","Chenopodiaceae","Goosefoot family","NA","NA","forb","summer","I"
"SAMA2","Sanicula marilandica","NA","SAMA2","Sanicula marilandica","Maryland sanicle","Apiaceae","Carrot family","Forb/herb","Perennial","forb","NA","N"
"SANIC","Sanicula","NA","SANIC","Sanicula","sanicle","Apiaceae","Carrot family","Forb/herb","NA","forb","NA","N"
"SANIC4","Sambucus nigra ssp. canadensis","NA","SANIC4","Sambucus nigra ssp. canadensis","American black elderberry","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","N"
"SAOD","Sanicula odorata","NA","SAOD","Sanicula odorata","clustered blacksnakeroot","Apiaceae","Carrot family","Forb/herb","Perennial","forb","spring","N"
"SAOF4","Saponaria officinalis","NA","SAOF4","Saponaria officinalis","bouncingbet","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","summer","I"
"SCIN","Scutellaria incana","NA","SCIN","Scutellaria incana","hoary skullcap","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"SCIRP","Scirpus","NA","SCIRP","Scirpus","bulrush","Cyperaceae","Sedge family","Graminoid","NA","grass-like","grass-like","N"
"SCLA","Scrophularia lanceolata","NA","SCLA","Scrophularia lanceolata","lanceleaf figwort","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","spring","N"
"SCMA2","Scrophularia marilandica","NA","SCMA2","Scrophularia marilandica","carpenter's square","Scrophulariaceae","Figwort family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"SCOL2","Scleria oligantha","NA","SCOL2","Scleria oligantha","littlehead nutrush","Cyperaceae","Sedge family","Graminoid","	Perennial","grass-like","NA","N"
"SCOV","Scutellaria ovata","NA","SCOV","Scutellaria ovata","heartleaf skullcap","Lamiaceae","Mint family","Forb/herb","Perennial","forb","NA","N"
"SCPA","Schedonnardus paniculatus","NA","SCPA","Schedonnardus paniculatus","tumblegrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SCPA7","Scutellaria parvula","NA","SCPA7","Scutellaria parvula","small skullcap","Lamiaceae","Mint family","Forb/herb","Perennial","forb","spring","N"
"SCPH","Schedonorus phoenix","LOAR10","LOAR10","Lolium arundinaceum","Tall Fescue","Poaceae","Grass family","Graminoid","perennial","grass","coolgrass","I"
"SCSC","Schizachyrium scoparium","NA","SCSC","Schizachyrium scoparium","little bluestem","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SCTA2","Schoenoplectus tabernaemontani","NA","SCTA2","Schoenoplectus tabernaemontani","softstem bulrush","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"SEFA","Setaria faberi","NA","SEFA","Setaria faberi","Japanese bristlegrass","Poaceae","Grass family","Graminoid","Annual","grass","annual-biennial","I"
"SEIN2","Senecio integerrimus","NA","SEIN2","Senecio integerrimus","lambstongue ragwort","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","NA","N"
"SEPU","Sedum pulchellum","NA","SEPU","Sedum pulchellum","widowscross","Crassulaceae","Stonecrop family","Forb/herb","Annual, Biennial, Perennial","forb","spring","N"
"SEPU8","Setaria pumila","NA","SEPU8","Setaria pumila","yellow foxtail","Poaceae","Grass family","Graminoid","Annual","grass","NA","I"
"SERI2","Senecio riddellii","NA","SERI2","Senecio riddellii","Riddell's ragwort","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"SERU","Selaginella rupestris","NA","SERU","Selaginella rupestris","northern selaginella","Selaginellaceae","Spike-moss family","Forb/herb","Perennial","fern","NA","N"
"SETAR","Setaria","NA","SETAR","Setaria","bristlegrass","Poaceae","Grass family","Graminoid","NA","grass","warmgrass","I"
"SEVI4","Setaria viridis","NA","SEVI4","Setaria viridis","green bristlegrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","I"
"SHAR2","Sherardia arvensis","NA","SHAR2","Sherardia arvensis","blue fieldmadder","Rubiaceae","Madder family","Forb/herb","Annual","forb","annual-biennial","I"
"SIAL2","Sisymbrium altissimum","NA","SIAL2","Sisymbrium altissimum","tall tumblemustard","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"SIAL3","Sisyrinchium albidum","NA","SIAL3","Sisyrinchium albidum","white blue-eyed grass","Iridaceae","Iris family","Forb/herb","Perennial","forb","NA","N"
"SIAN2","Silene antirrhina","NA","SIAN2","Silene antirrhina","sleepy silene","Caryophyllaceae","Pink family","Forb/herb","Annual","forb","annual-biennial","N"
"SIAN3","Sisyrinchium angustifolium","NA","SIAN3","Sisyrinchium angustifolium","narrowleaf blue-eyed grass","Iridaceae","Iris family","Forb/herb","Perennial","forb","NA","N"
"SICA9","Sisyrinchium campestre","NA","SICA9","Sisyrinchium campestre","prairie blue-eyed grass","Iridaceae","Iris family","Forb/herb","Perennial","forb","ephemeral","N"
"SIDR","Silene drummondii","NA","SIDR","Silene drummondii","Drummond's campion","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","summer","N"
"SIIN2","Silphium integrifolium","NA","SIIN2","Silphium integrifolium","wholeleaf rosinweed","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"SILA20","Sideroxylon lanuginosum","NA","SILA20","Sideroxylon lanuginosum","gum bully","Sapotaceae","Sapodilla family","Shrub","	Perennial","woody","NA","N"
"SILA3","Silphium laciniatum","NA","SILA3","Silphium laciniatum","compassplant","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SILAA3","Silene latifolia ssp. alba","NA","SILAA3","Silene latifolia ssp. alba","bladder campion","Caryophyllaceae","Pink family","Forb/herb","Biennial, Perennial","forb","NA","I"
"SILAA4","Sideroxylon lanuginosum ssp. albicans","NA","SILAA4","Sideroxylon lanuginosum ssp. albicans","gum bully","Sapotaceae","Sapodilla family","Shrub","Perennial","woody","woody","N"
"SILEN","Silene","NA","SILEN","Silene","catchfly","Caryophyllaceae","Pink family","Forb/herb","NA","forb","NA","N"
"SIPE2","Silphium perfoliatum","NA","SIPE2","Silphium perfoliatum","cup plant","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SISP","Sida spinosa","NA","SISP","Sida spinosa","prickly fanpetals","Malvaceae","Mallow family","Subshrub, Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"SIST","Silene stellata","NA","SIST","Silene stellata","widowsfrill","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","summer","N"
"SISYR","Sisyrinchium","NA","SISYR","Sisyrinchium","blue-eyed grass","Iridaceae","Iris family","Forb/herb","	Perennial","forb","NA","N"
"SITE","Silphium terebinthinaceum","NA","SITE","Silphium terebinthinaceum","prairie rosinweed","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SMBO2","Smilax bona-nox","NA","SMBO2","Smilax bona-nox","saw greenbrier","Smilacaceae","Catbrier family","Shrub, Vine","Perennial","woody","woody","N"
"SMEC","Smilax ecirrhata","NA","SMEC","Smilax ecirrhata","upright carrionflower","Smilacaceae","Catbrier family","Forb/herb, vine","Perennial","forb","spring","N"
"SMGL","Smilax glauca","NA","SMGL","Smilax glauca","cat greenbrier","Smilacaceae","Catbrier family","Shrub, Vine","Perennial","forb","spring","N"
"SMHE","Smilax herbacea","NA","SMHE","Smilax herbacea","smooth carrionflower","Smilacaceae","Catbrier family","Forb/herb, vine","Perennial","forb","spring","N"
"SMILA2","Smilax","NA","SMILA2","Smilax","greenbrier","Smilacaceae","Catbrier family","Shrub, Vine","	Perennial","woody","NA","N"
"SMLA3","Smilax lasioneura","NA","SMLA3","Smilax lasioneura","Blue Ridge carrionflower","Smilacaceae","Catbrier family","Forb/herb, vine","Perennial","woody","woody","N"
"SMRO","Smilax rotundifolia","NA","SMRO","Smilax rotundifolia","roundleaf greenbriar","Smilacaceae","Catbrier family","Shrub, Vine","Perennial","woody","NA","N"
"SMTA2","Smilax tamnoides","NA","SMTA2","Smilax tamnoides","bristly greenbrier","Smilacaceae","Catbrier family","Shrub, Vine","Perennial","woody","woody","N"
"SNAG","Snag","NA","SNAG","Snag","NA","NA","NA","NA","NA","woody","NA","N"
"SOAL6","Solidago altissima","NA","SOAL6","Solidago altissima","Canada goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"SOAM","Solanum americanum","NA","SOAM","Solanum americanum","American black nightshade","Solanaceae","Potato family","Subshrub, Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"SOAR2","Sonchus arvensis","NA","SOAR2","Sonchus arvensis","field sowthistle","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","I"
"SOBU","Solidago buckleyi","NA","SOBU","Solidago buckleyi","Buckley's goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOCA3","Solanum carolinense","NA","SOCA3","Solanum carolinense","Carolina horsenettle","Solanaceae","Potato family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"SOCA4","Solidago caesia","NA","SOCA4","Solidago caesia","wreath goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOCA6","Solidago canadensis","NA","SOCA6","Solidago canadensis","Canada goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOCAG","Solidago canadensis var. gilvocanescens","NA","SOCAG","Solidago canadensis var. gilvocanescens","shorthair goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOFL2","Solidago flexicaulis","NA","SOFL2","Solidago flexicaulis","zigzag goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOGI","Solidago gigantea","NA","SOGI","Solidago gigantea","giant goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOHA","Sorghum halepense","NA","SOHA","Sorghum halepense","Johnsongrass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","I"
"SOHIH","Solidago hispida var. hispida","NA","SOHIH","Solidago hispida var. hispida","hairy goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOLAN","Solanum","NA","SOLAN","Solanum","nightshade","Solanaceae","Potato family","NA","NA","forb","summer","N"
"SOLID","Solidago","NA","SOLID","Solidago","goldenrod","Asteraceae","Aster family","Forb/herb","	Perennial","forb","summer","N"
"SOMI2","Solidago missouriensis","NA","SOMI2","Solidago missouriensis","Missouri goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SONE","Solidago nemoralis","NA","SONE","Solidago nemoralis","gray goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SONU2","Sorghastrum nutans","NA","SONU2","Sorghastrum nutans","Indiangrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SOPE","Solidago petiolaris","NA","SOPE","Solidago petiolaris","downy ragged goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SORO","Solanum rostratum","NA","SORO","Solanum rostratum","buffalobur nightshade","Solanaceae","Potato family","Forb/herb","Annual","forb","annual-biennial","N"
"SOSP2","Solidago speciosa","NA","SOSP2","Solidago speciosa","showy goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SOTR","Solanum triflorum","NA","SOTR","Solanum triflorum","cutleaf nightshade","Solanaceae","Potato family","Forb/herb","Annual","forb","annual-biennial","N"
"SOUL2","Solidago ulmifolia","NA","SOUL2","Solidago ulmifolia","elmleaf goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SPAL2","Spiraea alba","NA","SPAL2","Spiraea alba","white meadowsweet","Rosaceae","Rose family","Shrub","Perennial","woody","NA","N"
"SPCE","Spiranthes cernua","NA","SPCE","Spiranthes cernua","nodding lady's tresses","Orchidaceae","Orchid family","Forb/herb","Perennial","forb","summer","N"
"SPCL","Sporobolus clandestinus","NA","SPCL","Sporobolus clandestinus","rough dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SPCO","Sphaeralcea coccinea","NA","SPCO","Sphaeralcea coccinea","scarlet globemallow","Malvaceae","Mallow family","Subshrub, Forb/herb","Biennial, Perennial","forb","spring","N"
"SPCO16","Sporobolus compositus","NA","SPCO16","Sporobolus compositus","composite dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","summer","N"
"SPCOC2","Sporobolus compositus var. compositus","SPAS","SPAS","Sporobolus asper","Tall dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SPCR","Sporobolus cryptandrus","NA","SPCR","Sporobolus cryptandrus","sand dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SPHE","Sporobolus heterolepis","NA","SPHE","Sporobolus heterolepis","prairie dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SPIN","Spermolepis inermis","NA","SPIN","Spermolepis inermis","Red River scaleseed","Apiaceae","Carrot family","Forb/herb","Annual","forb","annual-biennial","N"
"SPIN3","Sphenopholis intermedia","NA","SPIN3","Sphenopholis intermedia","slender wedgescale","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"SPNE2","Sporobolus neglectus","NA","SPNE2","Sporobolus neglectus","puffsheath dropseed","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"SPNI","Sphenopholis nitida","NA","SPNI","Sphenopholis nitida","shiny wedgescale","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"SPOB","Sphenopholis obtusata","NA","SPOB","Sphenopholis obtusata","prairie wedgescale","Poaceae","Grass family","Graminoid","Annual, Perennial","grass","coolgrass","N"
"SPORO","Sporobolus","NA","SPORO","Sporobolus","dropseed","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"SPPE","Spartina pectinata","NA","SPPE","Spartina pectinata","prairie cordgrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"SPVA","Sporobolus vaginiflorus","NA","SPVA","Sporobolus vaginiflorus","poverty dropseed","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"STBI2","Stylosanthes biflora","NA","STBI2","Stylosanthes biflora","sidebeak pencilflower","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"STLE6","Strophostyles leiosperma","NA","STLE6","Strophostyles leiosperma","slickseed fuzzybean","Fabaceae","Pea family","Forb/herb, vine","Annual","forb","legume","N"
"STLO","Stellaria longifolia","NA","STLO","Stellaria longifolia","longleaf starwort","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","NA","N"
"STME2","Stellaria media","NA","STME2","Stellaria media","common chickweed","Caryophyllaceae","Pink family","Forb/herb","Annual, Perennial","forb","annual-biennial","I"
"STNIN","Stenaria nigricans var. nigricans","HENIN","HENIN","Hedyotis nigricans var. nigricans","Madder","Rubiaceae","Madder family","Forb/herb, Subshrub","Perennial","forb","spring","N"
"STPA","Stachys palustris","NA","STPA","Stachys palustris","marsh hedgenettle","Lamiaceae","Mint family","Forb/herb","Perennial","forb","NA","I"
"STTE","Stachys tenuifolia","NA","STTE","Stachys tenuifolia","smooth hedgenettle","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"STTR","Staphylea trifolia","NA","STTR","Staphylea trifolia","American bladdernut","Staphyleaceae","Bladdernut family","Shrub","Perennial","woody","woody","N"
"STUM2","Strophostyles umbellata","NA","STUM2","Strophostyles umbellata","pink fuzzybean","Fabaceae","Pea family","Forb/herb, vine","Perennial","forb","NA","N"
"SYAL","Symphoricarpos albus","NA","SYAL","Symphoricarpos albus","common snowberry","Caprifoliaceae","Honeysuckle family","Shrub, Subshrub","Perennial","woody","NA","N"
"SYAN2","Symphyotrichum anomalum","ASAN","ASAN","Aster anomalus","Limestone heart-leaved wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYCO4","Symphyotrichum cordifolium","ASCO4","ASCO4","Aster cordifolius","Common blue heart-leaved wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYDRD","Symphyotrichum drummondii var. drummondii","ASDR","ASDR","Aster drummondii","Hairy heart-leaved wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYERE","Symphyotrichum ericoides var. ericoides","ASER3","ASER3","Aster ericoides","Squarrose white wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYFAC","Symphyotrichum falcatum var. commutatum","ASFAC","ASFAC","Aster falcatus var. commutatus","White prairie wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYLAL3","Symphyotrichum laeve var. laeve","ASLA5","ASLA5","Aster laevis","Smooth wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYLAL4","Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum","ASLA80","ASLA80","Aster lanceolatus","white panicle aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYLAL7","Symphyotrichum lateriflorum var. lateriflorum","ASLA6","ASLA6","Aster lateriflorus","Goblet wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYLO2","Symphyotrichum lowrieanum","ASLO9","ASLO9","Aster lowrieanus","Lowrie's blue wood aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYMPH","Symphoricarpos","NA","SYMPH","Symphoricarpos","snowberry","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","N"
"SYMPH4","Symphyotrichum","NA","SYMPH4","Symphyotrichum","aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","forb","N"
"SYNO2","Symphyotrichum novae-angliae","ASNO","ASNO","Aster novae-angliae","New England wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYOB","Symphyotrichum oblongifolium","ASOB2","ASOB2","Aster oblongifolius","Aromatic wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYOC","Symphoricarpos occidentalis","NA","SYOC","Symphoricarpos occidentalis","western snowberry","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","N"
"SYOO","Symphyotrichum oolentangiense","NA","SYOO","Symphyotrichum oolentangiense","skyblue aster","Asteraceae","Aster family","Forb/herb, Subshrub","Perennial","forb","summer","N"
"SYOOO","Symphyotrichum oolentangiense var. oolentangiense","NA","SYOOO","Symphyotrichum oolentangiense var. oolentangiense","skyblue aster","Asteraceae","Aster family","Forb/herb, Subshrub","Perennial","forb","summer","N"
"SYOR","Symphoricarpos orbiculatus","NA","SYOR","Symphoricarpos orbiculatus","coralberry","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","N"
"SYPAP2","Symphyotrichum patens var. patens","ASPA5","ASPA5","Aster patens","Clasping wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYPIP3","Symphyotrichum pilosum var. pilosum","ASPI2","ASPI2","Aster pilosus","Awl wild aster ","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYPRP","Symphyotrichum praealtum  var praealtum","ASPR2","NA","Aster Praealtus","willowleaf aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"SYSE2","Symphyotrichum sericeum","ASSE2","ASSE2","Aster sericeus","Western silvery wild aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"SYSH","Symphyotrichum shortii","NA","SYSH","Symphyotrichum shortii","Short's aster","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
